Day,Status,PDF_File,Caption_File,Topic,Chapter,Posted_Date
1,TODO,ch01_topic01_morning.pdf,ch01_topic01_morning.txt,Classes Structs and Access Specifiers,1,
2,TODO,ch01_topic02_morning.pdf,ch01_topic02_morning.txt,Encapsulation Inheritance and Polymorphism,1,
3,TODO,ch01_topic03_morning.pdf,ch01_topic03_morning.txt,Pure Virtual Functions and Abstract Base Classes,1,
4,TODO,ch01_topic04_morning.pdf,ch01_topic04_morning.txt,Constructors Destructors and Special Member Functions,1,
5,TODO,ch01_topic05_morning.pdf,ch01_topic05_morning.txt,Friend Functions and Friend Classes,1,
6,TODO,ch01_topic06_morning.pdf,ch01_topic06_morning.txt,Static Members and Static Functions,1,
7,TODO,ch01_topic07_morning.pdf,ch01_topic07_morning.txt,Virtual Functions Deep Dive,1,
8,TODO,ch02_topic01_morning.pdf,ch02_topic01_morning.txt,Memory Management Fundamentals,2,
9,TODO,ch03_topic01_morning.pdf,ch03_topic01_morning.txt,Smart Pointers,3,
10,TODO,ch04_topic01_morning.pdf,ch04_topic01_morning.txt,Lvalue and Rvalue References,4,
11,TODO,ch04_topic02_morning.pdf,ch04_topic02_morning.txt,Move Semantics and std::move,4,
12,TODO,ch04_topic03_morning.pdf,ch04_topic03_morning.txt,Perfect Forwarding and Reference Collapsing,4,
13,TODO,ch04_topic04_morning.pdf,ch04_topic04_morning.txt,Copy Elision and Return Value Optimization,4,
14,TODO,ch05_topic01_morning.pdf,ch05_topic01_morning.txt,Operator Overloading,5,
15,TODO,ch06_topic01_morning.pdf,ch06_topic01_morning.txt,Type Conversions and Type Deduction,6,
16,TODO,ch06_topic02_morning.pdf,ch06_topic02_morning.txt,C++ Cast Operators,6,
17,TODO,ch07_topic01_morning.pdf,ch07_topic01_morning.txt,Template Fundamentals,7,
18,TODO,ch07_topic02_morning.pdf,ch07_topic02_morning.txt,Advanced Templates (SFINAE and CRTP),7,
19,TODO,ch08_topic01_morning.pdf,ch08_topic01_morning.txt,STL Vector,8,
20,TODO,ch08_topic02_morning.pdf,ch08_topic02_morning.txt,STL List,8,
21,TODO,ch08_topic03_morning.pdf,ch08_topic03_morning.txt,STL Deque and Forward List,8,
22,TODO,ch08_topic04_morning.pdf,ch08_topic04_morning.txt,Ordered Associative Containers,8,
23,TODO,ch08_topic05_morning.pdf,ch08_topic05_morning.txt,Unordered Containers,8,
24,TODO,ch08_topic06_morning.pdf,ch08_topic06_morning.txt,Iterators Allocators Algorithms and Lambdas,8,
25,TODO,ch09_topic01_morning.pdf,ch09_topic01_morning.txt,C++11 Type Deduction,9,
26,TODO,ch09_topic02_morning.pdf,ch09_topic02_morning.txt,C++11 Language Safety Features,9,
27,TODO,ch09_topic03_morning.pdf,ch09_topic03_morning.txt,C++11 Inheritance Control,9,
28,TODO,ch09_topic04_morning.pdf,ch09_topic04_morning.txt,C++11 Functional Programming Features,9,
29,TODO,ch09_topic05_morning.pdf,ch09_topic05_morning.txt,C++11 Initialization and Template Enhancements,9,
30,TODO,ch10_topic01_morning.pdf,ch10_topic01_morning.txt,RAII Fundamentals and Exception Safety,10,
31,TODO,ch10_topic02_morning.pdf,ch10_topic02_morning.txt,RAII Custom Wrappers and Advanced Patterns,10,
32,TODO,ch10_topic03_morning.pdf,ch10_topic03_morning.txt,Smart Pointers as RAII,10,
33,TODO,ch11_topic01_morning.pdf,ch11_topic01_morning.txt,Thread Basics and std::thread,11,
34,TODO,ch11_topic02_morning.pdf,ch11_topic02_morning.txt,Mutexes and Locks,11,
35,TODO,ch11_topic03_morning.pdf,ch11_topic03_morning.txt,Condition Variables,11,
36,TODO,ch11_topic04_morning.pdf,ch11_topic04_morning.txt,Atomics and Memory Ordering,11,
37,TODO,ch11_topic05_morning.pdf,ch11_topic05_morning.txt,Thread-Safe Patterns,11,
38,TODO,ch11_topic06_morning.pdf,ch11_topic06_morning.txt,Async Promise and Future,11,
39,TODO,ch11_topic07_morning.pdf,ch11_topic07_morning.txt,STL Thread Safety,11,
40,TODO,ch12_topic01_morning.pdf,ch12_topic01_morning.txt,Singleton Pattern,12,
41,TODO,ch12_topic02_morning.pdf,ch12_topic02_morning.txt,Functor Pattern,12,
42,TODO,ch12_topic03_morning.pdf,ch12_topic03_morning.txt,CRTP Pattern,12,
43,TODO,ch12_topic04_morning.pdf,ch12_topic04_morning.txt,Object Pool Pattern,12,
44,TODO,ch12_topic05_morning.pdf,ch12_topic05_morning.txt,Custom Vector Implementation,12,
45,TODO,ch12_topic06_morning.pdf,ch12_topic06_morning.txt,Factory Pattern,12,
46,TODO,ch12_topic07_morning.pdf,ch12_topic07_morning.txt,Observer Pattern,12,
47,TODO,ch12_topic08_morning.pdf,ch12_topic08_morning.txt,Strategy Pattern,12,
48,TODO,ch13_topic01_morning.pdf,ch13_topic01_morning.txt,Compile-Time Programming,13,
49,TODO,ch14_topic01_morning.pdf,ch14_topic01_morning.txt,Low-Level Internals,14,
50,TODO,ch14_topic02_morning.pdf,ch14_topic02_morning.txt,Advanced Pitfalls,14,
51,TODO,ch15_topic01_morning.pdf,ch15_topic01_morning.txt,C++14 Features,15,
52,TODO,ch16_topic01_morning.pdf,ch16_topic01_morning.txt,C++17 Language Features,16,
53,TODO,ch16_topic02_morning.pdf,ch16_topic02_morning.txt,C++17 Standard Library,16,
54,TODO,ch16_topic03_morning.pdf,ch16_topic03_morning.txt,C++17 Template Improvements,16,
55,TODO,ch16_topic04_morning.pdf,ch16_topic04_morning.txt,C++17 Parallel Algorithms,16,
56,TODO,ch17_topic01_morning.pdf,ch17_topic01_morning.txt,Architecture and Design Thinking,17,
57,TODO,ch17_topic02_morning.pdf,ch17_topic02_morning.txt,Event-Driven Architecture,17,
58,TODO,ch17_topic03_morning.pdf,ch17_topic03_morning.txt,Component-Based Architecture (ECS),17,
59,TODO,ch17_topic04_morning.pdf,ch17_topic04_morning.txt,Layered Architecture,17,
60,TODO,ch17_topic05_morning.pdf,ch17_topic05_morning.txt,MVC/MVVM Patterns,17,
61,TODO,ch17_topic06_morning.pdf,ch17_topic06_morning.txt,Microservices Architecture,17,
62,TODO,ch17_topic07_morning.pdf,ch17_topic07_morning.txt,Clean/Hexagonal Architecture,17,
63,TODO,ch18_topic01_morning.pdf,ch18_topic01_morning.txt,Network Programming Basics,18,
64,TODO,ch18_topic02_morning.pdf,ch18_topic02_morning.txt,Socket Programming,18,
65,TODO,ch18_topic03_morning.pdf,ch18_topic03_morning.txt,TCP/IP Protocol Suite,18,
66,TODO,ch18_topic04_morning.pdf,ch18_topic04_morning.txt,Asynchronous I/O,18,
67,TODO,ch18_topic05_morning.pdf,ch18_topic05_morning.txt,Network Security,18,
68,TODO,ch18_topic06_morning.pdf,ch18_topic06_morning.txt,High-Performance Networking,18,
69,TODO,ch19_topic01_morning.pdf,ch19_topic01_morning.txt,C++20 Concepts and Constraints,19,
70,TODO,ch19_topic02_morning.pdf,ch19_topic02_morning.txt,C++20 Ranges and Views,19,
71,TODO,ch19_topic03_morning.pdf,ch19_topic03_morning.txt,C++20 Coroutines,19,
72,TODO,ch19_topic04_morning.pdf,ch19_topic04_morning.txt,C++20 Language Features,19,
73,TODO,ch19_topic05_morning.pdf,ch19_topic05_morning.txt,C++20 Library Additions,19,
74,TODO,ch19_topic06_morning.pdf,ch19_topic06_morning.txt,C++20 Modules,19,
75,TODO,ch20_topic01_morning.pdf,ch20_topic01_morning.txt,Memory Pool Allocator,20,
76,TODO,ch20_topic02_morning.pdf,ch20_topic02_morning.txt,Thread-Safe Bounded Queue,20,
77,TODO,ch20_topic03_morning.pdf,ch20_topic03_morning.txt,Lock-Free Stack,20,
78,TODO,ch20_topic04_morning.pdf,ch20_topic04_morning.txt,Thread Pool Implementation,20,
79,TODO,ch20_topic05_morning.pdf,ch20_topic05_morning.txt,Vector Internals,20,
80,TODO,ch20_topic06_morning.pdf,ch20_topic06_morning.txt,Custom std::function Implementation,20,
81,TODO,ch20_topic07_morning.pdf,ch20_topic07_morning.txt,Custom HashMap Implementation,20,
82,TODO,ch20_topic08_morning.pdf,ch20_topic08_morning.txt,Singleton Pattern Implementation,20,
83,TODO,ch20_topic09_morning.pdf,ch20_topic09_morning.txt,RAII File Descriptor Wrapper,20,
84,TODO,ch20_topic10_morning.pdf,ch20_topic10_morning.txt,Lock-Free Ring Buffer,20,
85,TODO,ch20_topic11_morning.pdf,ch20_topic11_morning.txt,LRU Cache Implementation,20,
86,TODO,ch20_topic12_morning.pdf,ch20_topic12_morning.txt,Copy-on-Write String,20,
87,TODO,ch20_topic13_morning.pdf,ch20_topic13_morning.txt,Smart Logger Implementation,20,
88,TODO,ch20_topic14_morning.pdf,ch20_topic14_morning.txt,Spinlock vs Mutex,20,
